date,bytes_sent,bytes_recv,packets_sent,packets_recv
2026-02-05 10:29:34,4018516,80481481,33670,45370
2026-02-05 10:33:52,4284321,80678048,35751,47175
2026-02-05 10:33:54,4292265,80685700,35839,47263
2026-02-05 10:35:59,4734334,80963284,37087,48399
2026-02-05 10:36:00,4740412,80968842,37154,48462
2026-02-05 10:36:02,4746292,80974388,37218,48525
2026-02-05 11:00:03,7384983,84615530,49680,59424
2026-02-05 12:00:02,9954516,85884084,59795,68064
2026-02-05 13:00:02,13181099,86800961,64062,73560
2026-02-05 14:00:02,13298951,86863460,64445,73911
2026-02-05 15:00:03,13734640,87093125,65666,75471
2026-02-05 16:00:02,14182815,87356550,67060,77248
2026-02-05 17:00:02,14737618,87770052,69293,79766
2026-02-05 18:00:02,15304142,88130816,71181,81897
2026-02-05 19:00:03,15756593,88418668,72778,83755
2026-02-05 20:00:02,18626613,92426042,85685,96813
2026-02-05 21:00:02,22112191,118362947,104071,118061
2026-02-05 22:00:02,25991745,121258910,122843,135592
2026-02-05 23:00:03,29322716,123737861,137400,149842
2026-02-06 00:00:02,34069097,126673990,153829,166165
2026-02-06 01:00:02,37306655,128472823,161919,174878
2026-02-06 02:00:02,40541845,130400126,170549,184210
2026-02-06 03:00:03,43675660,132368565,181435,195631
2026-02-06 04:00:02,46728516,134646035,194672,208709
2026-02-06 05:00:02,47552477,135164383,197489,212227
2026-02-06 06:00:02,49210664,136227568,203164,219120
2026-02-06 07:00:02,50563705,137077884,207646,224758
2026-02-06 08:00:02,52997793,138568821,214972,232755
2026-02-06 09:00:02,60432645,143550025,235518,254786
2026-02-06 10:00:02,65303190,146316306,246291,266485
2026-02-06 11:00:02,71687694,149120485,259545,281832
2026-02-06 12:00:03,73823803,150535101,267085,291242
2026-02-06 13:00:02,74239099,150778491,268467,292866
2026-02-06 14:00:02,75128795,151114064,275771,295686
2026-02-06 15:00:02,76561518,151535451,291561,299913
2026-02-06 16:00:02,78907132,162105573,310580,308189
2026-02-06 17:00:02,80004943,162366191,325679,311235
2026-02-06 18:00:02,81182927,162640378,341061,314459
2026-02-06 19:00:02,83344731,163710961,360334,322311
2026-02-06 20:00:02,86264747,167159956,382658,333927
2026-02-06 21:00:02,87761719,167696632,399386,338776
2026-02-06 22:00:02,88852329,168282384,409281,345011
2026-02-06 23:00:02,89776391,168769164,419498,350417
2026-02-07 00:00:03,93715632,170108609,456953,361541
2026-02-07 01:00:02,96545365,171351173,492869,373181
2026-02-07 02:00:02,98364377,172163624,512679,381283
2026-02-07 03:00:02,100076007,172766774,531368,387847
2026-02-07 04:00:02,101791199,173423296,550566,394784
2026-02-07 05:00:03,103632179,174203828,569651,402396
2026-02-07 06:00:02,105086427,174861343,585637,409678
2026-02-07 07:00:02,106064809,180167508,592290,421065
2026-02-07 08:00:02,106624926,180820974,597301,429737
2026-02-07 09:00:02,107909198,181641473,607236,438751
2026-02-07 10:00:02,110492969,182633397,623125,448445
2026-02-07 11:00:02,114055844,184216743,636784,458771
2026-02-07 12:00:02,117193502,223394170,651406,480808
2026-02-07 13:00:02,117739563,223753347,653353,483029
2026-02-07 14:00:02,118318875,224529495,655831,486068
2026-02-07 15:00:02,120279423,225843094,662859,494272
2026-02-07 16:00:02,122746604,227285902,672112,502947
2026-02-07 17:00:02,125669014,229684234,684426,516771
2026-02-07 18:00:02,127234105,230825056,690304,523758
2026-02-07 19:00:03,128633515,231660220,694773,528927
2026-02-07 20:00:02,129584087,232396759,698489,533344
2026-02-07 21:00:02,132843471,233038269,702058,537894
2026-02-07 22:00:02,134246663,234109861,707216,544773
2026-02-07 23:00:02,135908746,235336165,713249,552593
2026-02-08 00:00:02,137188760,236302394,718219,558499
2026-02-08 01:00:02,140314038,236849221,721054,562105
2026-02-08 02:00:02,141153784,237414831,723736,565689
2026-02-08 03:00:02,142148446,238144360,727152,570266
2026-02-08 04:00:02,143269154,238951871,732896,575987
2026-02-08 05:00:02,146386486,240685339,764730,595600
2026-02-08 06:00:02,150183768,247340524,801232,620148
2026-02-08 07:00:02,153340601,249682060,827523,644857
2026-02-08 08:00:02,155315683,251600493,841610,667966
2026-02-08 09:00:02,156913737,253336499,853688,689886
2026-02-08 10:00:02,159170938,255898926,869867,716246
2026-02-08 11:00:02,161078669,257962961,883831,740413
2026-02-08 12:00:02,162868068,259488070,893140,754357
2026-02-08 13:00:02,164362468,260632068,898867,761474
2026-02-08 14:00:02,166833083,262518378,908255,773379
2026-02-08 15:00:02,168999348,263798157,914716,781525
2026-02-08 16:00:02,171353993,265067114,920503,787916
2026-02-08 17:00:02,175865594,267191962,929806,797934
2026-02-08 18:00:03,181321237,270254653,945610,814288
2026-02-08 19:00:02,186210345,272803395,957580,827487
2026-02-08 20:00:02,190193583,274675200,965923,836646
2026-02-08 21:00:02,192692192,276583873,976016,848002
2026-02-08 22:00:02,195500395,277952298,1000461,857980
2026-02-08 23:00:02,198425933,279372035,1028119,868409
2026-02-09 00:00:02,201126571,280451990,1053331,876848
2026-02-09 01:00:02,203450401,281693962,1073703,887342
2026-02-09 02:00:02,205897356,283864971,1085870,905078
2026-02-09 03:00:03,208204810,293013855,1098794,924602
2026-02-09 04:00:02,209662537,294154746,1106324,934349
2026-02-09 05:00:02,210982346,295301785,1113223,944309
2026-02-09 06:00:02,212741252,296673559,1121407,955577
2026-02-09 07:00:02,214556913,299995657,1130423,968247
2026-02-09 08:00:02,216127745,301317797,1138447,979446
2026-02-09 09:00:02,217837304,302713783,1146798,990962
2026-02-09 10:00:02,219224908,303822418,1153521,1000204
2026-02-09 11:00:02,220172912,304624485,1158522,1006749
2026-02-09 12:00:03,221872316,306077532,1167286,1017742
2026-02-09 13:00:02,222908794,306977072,1173145,1025793
2026-02-09 14:00:02,225020350,308270252,1187143,1035799
2026-02-09 15:00:02,227179401,309333985,1206201,1043559
2026-02-09 16:00:02,228986619,310100810,1223464,1049406
2026-02-09 17:00:02,230943398,310933995,1241450,1055685
2026-02-09 18:00:02,233612728,312540025,1263400,1066061
2026-02-09 19:00:02,235203719,313206314,1280305,1071535
2026-02-09 20:00:02,236527677,313650991,1296236,1075673
2026-02-09 21:00:02,238191478,314359486,1313986,1081245
2026-02-09 22:00:02,239520578,314767092,1330383,1085043
2026-02-09 23:00:02,240776515,315151834,1346342,1088667
2026-02-10 00:00:02,242110176,315567273,1361686,1092445
2026-02-10 01:00:02,243300424,315933147,1376856,1095884
2026-02-10 02:00:02,244727191,316452880,1392743,1100320
2026-02-10 03:00:02,247075095,412522392,1415853,1124873
2026-02-10 04:00:02,248621294,413104246,1432426,1129705
2026-02-10 05:00:02,250129915,413537874,1448250,1133747
2026-02-10 06:00:03,250612863,413803538,1450901,1135328
2026-02-10 07:00:02,251030617,414163876,1452923,1137354
2026-02-10 08:00:02,252676420,417341972,1460594,1145606
2026-02-10 09:00:02,253380714,417874939,1463583,1148584
2026-02-10 10:00:02,254096755,418320847,1466067,1151063
2026-02-10 11:00:03,254994399,419143636,1469938,1155513
2026-02-10 12:00:02,256099308,419953073,1474650,1160063
2026-02-10 13:00:02,257800333,420585505,1490825,1165184
2026-02-10 14:00:02,260352871,421862246,1509714,1174793
2026-02-10 15:00:02,262329001,422894138,1526121,1182714
2026-02-10 16:00:02,263722854,423386500,1539743,1187085
2026-02-10 17:00:02,265547912,424247939,1556447,1193323
2026-02-10 18:00:02,269853653,426821184,1582618,1209201
2026-02-10 19:00:02,274263193,429591069,1609595,1226286
2026-02-10 20:00:03,278352847,432249342,1636928,1242600
2026-02-10 21:00:02,280868783,433322361,1655617,1250919
2026-02-10 22:00:02,282223853,434073708,1667202,1257629
2026-02-10 23:00:02,283238462,434926677,1672735,1265790
2026-02-11 00:00:03,285500572,436345126,1681221,1277535
2026-02-11 01:00:02,287431149,437503274,1688595,1287523
2026-02-11 02:00:02,288777655,438422993,1693707,1293606
2026-02-11 03:00:02,290134660,439412062,1699124,1299735
2026-02-11 04:00:02,291506932,440358954,1704138,1306546
2026-02-11 05:00:02,293124584,441457932,1709894,1313688
2026-02-11 06:00:02,294474742,442338834,1714674,1319255
2026-02-11 07:00:02,296007147,443362158,1720239,1325767
2026-02-11 08:00:02,298316255,445998446,1725376,1332290
2026-02-11 09:00:02,299020554,449642263,1728645,1336685
2026-02-11 10:00:02,302427864,450369563,1732971,1341890
2026-02-11 11:00:02,303717191,451126734,1736952,1346800
2026-02-11 12:00:02,305316072,452109542,1742273,1353462
2026-02-11 13:00:02,306368759,452834351,1746107,1358105
2026-02-11 14:00:03,307518370,453565187,1750112,1362693
2026-02-11 15:00:02,308439269,454158781,1753459,1366344
2026-02-11 16:00:02,310063857,455027243,1758513,1371371
2026-02-11 17:00:02,311787429,455576546,1760972,1373855
2026-02-11 18:00:03,316081821,456872664,1766678,1379655
2026-02-11 19:00:02,321093265,458557569,1774406,1388809
2026-02-11 20:00:02,325286285,460274237,1783121,1400617
2026-02-11 21:00:02,326835308,461529227,1791106,1411202
2026-02-11 22:00:03,329740283,463251913,1801819,1424086
2026-02-11 23:00:02,338177187,467857304,1827586,1451774
2026-02-12 00:00:02,343548573,469784685,1837387,1464113
2026-02-12 01:00:02,344378556,470475980,1842114,1471175
2026-02-12 02:00:03,345750195,470979182,1845427,1475206
2026-02-12 03:00:02,346079405,471169042,1846470,1476392
2026-02-12 04:00:02,346634666,471308522,1852814,1477937
2026-02-12 05:00:02,347649288,471550975,1866371,1480840
2026-02-12 06:00:02,350159778,472991648,1886755,1490424
2026-02-12 07:00:03,355419963,476618317,1920251,1512328
2026-02-12 08:00:02,360397250,480001876,1953101,1533133
2026-02-12 09:00:02,363983640,483929657,1977987,1547046
2026-02-12 10:00:02,365372440,487585790,1994026,1552578
2026-02-12 11:00:03,367061495,488165327,2013915,1557866
2026-02-12 12:00:02,371243178,489121619,2072777,1569416
2026-02-12 13:00:02,375937301,490665212,2133719,1583814
2026-02-12 14:00:02,378952462,491497286,2171978,1592467
2026-02-12 15:00:02,379664338,491945649,2174312,1595209
2026-02-12 16:00:02,382643705,494303937,2187313,1608476
2026-02-12 17:00:02,385252420,496560679,2198982,1623068
2026-02-12 18:00:02,392089639,499601123,2223031,1644198
2026-02-12 19:00:02,397012343,502764717,2251998,1666272
2026-02-12 20:00:03,401267070,505785688,2278475,1687431
2026-02-12 21:00:02,404401166,508296454,2297584,1706207
2026-02-12 22:00:02,410183498,511619665,2320400,1728862
2026-02-12 23:00:02,413546463,512924365,2334478,1738452
2026-02-13 00:00:03,414949482,513725686,2344041,1745786
2026-02-13 01:00:02,416359180,514300993,2358070,1750846
2026-02-13 02:00:02,417874052,514888946,2373159,1755852
2026-02-13 03:00:02,419422715,515503501,2389135,1761094
2026-02-13 04:00:03,420351892,516020028,2395065,1764660
2026-02-13 05:00:02,421052581,531238462,2398919,1772020
2026-02-13 06:00:02,422813763,531860737,2402724,1776362
2026-02-13 07:00:02,424006028,532647263,2406986,1781103
2026-02-13 08:00:02,424763755,533147048,2409611,1784226
2026-02-13 09:00:03,426446529,534131786,2414909,1790436
2026-02-13 10:00:02,427671500,536715577,2419111,1795728
2026-02-13 11:00:02,429181639,537523012,2423582,1800400
2026-02-13 12:00:02,429747568,537957647,2425837,1802852
2026-02-13 13:00:02,430223225,538278598,2427468,1804720
2026-02-13 14:00:02,431559311,539102716,2431804,1809780
2026-02-13 15:00:02,436365979,540106884,2437798,1816691
2026-02-13 16:00:02,436920759,540445771,2439523,1818783
2026-02-13 17:00:02,437852233,540928495,2445571,1822325
2026-02-13 18:00:02,440950966,541917895,2461857,1828888
2026-02-13 19:00:02,449095880,544405499,2485383,1842491
2026-02-13 20:00:02,453280275,545482605,2498436,1848594
2026-02-13 21:00:02,458412887,546853546,2515930,1856540
2026-02-13 22:00:02,467056793,549059087,2536579,1867833
