date,read_bytes,write_bytes,read_ops,write_ops,read_time_ms,write_time_ms,busy_time_ms
2026-02-05 10:29:34,678665216,678464512,16637,15335,3122,4336,3331
2026-02-05 10:33:52,679562240,680700928,16655,15672,3126,4506,3349
2026-02-05 10:33:54,679562240,680700928,16655,15672,3126,4506,3349
2026-02-05 10:35:59,679562240,681516032,16655,15780,3126,4547,3353
2026-02-05 10:36:00,679562240,681520128,16655,15781,3126,4548,3354
2026-02-05 10:36:02,679562240,681589760,16655,15782,3126,4549,3354
2026-02-05 11:00:03,679562240,690887680,16655,16996,3126,5026,3398
2026-02-05 12:00:02,680320000,736549888,16692,25500,3133,7478,3635
2026-02-05 13:00:02,680836096,793644032,16703,36650,3136,10746,3953
2026-02-05 14:00:02,680836096,804715520,16703,38671,3136,11453,4031
2026-02-05 15:00:03,680836096,828075008,16703,43205,3136,12952,4176
2026-02-05 16:00:02,680836096,858917888,16703,49283,3136,14870,4364
2026-02-05 17:00:02,680836096,898386944,16703,57193,3136,17420,4618
2026-02-05 18:00:02,680836096,930819072,16703,63638,3136,19643,4811
2026-02-05 19:00:03,680836096,960744448,16703,69544,3136,21668,5010
2026-02-05 20:00:02,684743680,1063586816,16750,87130,3146,27388,5553
2026-02-05 21:00:02,696421376,1473330176,16878,106794,3178,35909,6400
2026-02-05 22:00:02,696421376,1578888192,16878,128285,3178,42534,7029
2026-02-05 23:00:03,696421376,1674800128,16878,147856,3178,48364,7635
2026-02-06 00:00:02,699870208,1777179648,16973,168428,3203,54652,8270
2026-02-06 01:00:02,700165120,1829370880,16994,178396,3208,58021,8560
2026-02-06 02:00:02,700173312,1886329856,16996,189714,3209,61808,8912
2026-02-06 03:00:03,700177408,1980566528,16997,208842,3209,67825,9445
2026-02-06 04:00:02,700177408,2088573952,16997,230558,3209,74100,10046
2026-02-06 05:00:02,700177408,2132315136,16997,239409,3209,76997,10327
2026-02-06 06:00:02,700177408,2199882752,16997,253260,3209,81272,10735
2026-02-06 07:00:02,701008896,2448845824,17088,270082,3234,86406,11544
2026-02-06 08:00:02,701008896,2521373696,17088,284855,3234,91233,11972
2026-02-06 09:00:02,701008896,2649299968,17088,310113,3234,98877,12705
2026-02-06 10:00:02,701008896,2708413440,17088,321832,3234,102730,13075
2026-02-06 11:00:02,701008896,2804046848,17088,341404,3234,109046,13665
2026-02-06 12:00:03,701443072,2891385856,17161,359089,3245,114547,14219
2026-02-06 13:00:02,701443072,2919255040,17161,364708,3245,116477,14400
2026-02-06 14:00:02,701443072,2952940544,17161,371507,3245,118823,14620
2026-02-06 15:00:02,701443072,2986454016,17161,378261,3245,121309,14855
2026-02-06 16:00:02,703159296,3358731264,17195,384890,3252,125529,15355
2026-02-06 17:00:02,703159296,3375016960,17195,388043,3252,126665,15453
2026-02-06 18:00:02,703159296,3392064512,17195,391349,3252,127918,15583
2026-02-06 19:00:02,703159296,3451235328,17195,403439,3252,131951,15943
2026-02-06 20:00:02,703159296,3559717888,17195,422546,3252,137934,16534
2026-02-06 21:00:02,703159296,3594214400,17195,429606,3252,140270,16756
2026-02-06 22:00:02,706513920,3625638912,17223,434725,3258,142020,16918
2026-02-06 23:00:02,706513920,3649793024,17223,438457,3258,143413,17012
2026-02-07 00:00:03,708656128,3669453824,17261,441429,3269,144460,17138
2026-02-07 01:00:02,708660224,3700706304,17262,447228,3269,146337,17308
2026-02-07 02:00:02,708660224,3739368448,17262,454442,3269,148672,17517
2026-02-07 03:00:02,708660224,3769859072,17262,460478,3269,150622,17691
2026-02-07 04:00:02,708664320,3800329216,17263,466503,3269,152599,17879
2026-02-07 05:00:03,708664320,3837451264,17263,473873,3269,155017,18095
2026-02-07 06:00:02,708664320,3868965888,17263,480157,3269,157000,18281
2026-02-07 07:00:02,708664320,4188154880,17263,487745,3269,160831,18725
2026-02-07 08:00:02,708664320,4211325952,17263,492276,3269,162345,18858
2026-02-07 09:00:02,708664320,4246637568,17263,499315,3269,164669,19058
2026-02-07 10:00:02,708713472,4286962688,17272,507302,3271,167318,19288
2026-02-07 11:00:02,708750336,4327533568,17281,514050,3273,169771,19507
2026-02-07 12:00:02,715316224,5111606272,18442,536973,3395,176497,21098
2026-02-07 13:00:02,715320320,5142920192,18443,543147,3395,178577,21313
2026-02-07 14:00:02,715320320,5164461056,18443,547214,3395,180010,21436
2026-02-07 15:00:02,715320320,5228735488,18443,560151,3395,184030,21811
2026-02-07 16:00:02,715320320,5293874176,18443,573256,3395,188257,22205
2026-02-07 17:00:02,715320320,5381704704,18443,590668,3395,193518,22721
2026-02-07 18:00:02,715320320,5446192128,18443,603815,3395,197907,23132
2026-02-07 19:00:03,715320320,5498326016,18443,614434,3395,201405,23462
2026-02-07 20:00:02,715320320,5549231104,18443,624717,3395,204732,23766
2026-02-07 21:00:02,717556736,5586545664,18510,632202,3409,207324,24036
2026-02-07 22:00:02,717556736,5649275904,18510,645117,3409,211432,24440
2026-02-07 23:00:02,717556736,5717171200,18510,659025,3409,215729,24874
2026-02-08 00:00:02,722852864,5780335616,18568,671455,3433,219873,25346
2026-02-08 01:00:02,722856960,5819530240,18569,678957,3434,222910,25626
2026-02-08 02:00:02,722856960,5859716096,18569,687093,3434,225681,25890
2026-02-08 03:00:02,722856960,5910592512,18569,697520,3434,229051,26200
2026-02-08 04:00:02,722856960,5962411008,18569,708156,3434,232511,26504
2026-02-08 05:00:02,722856960,6015491072,18569,718946,3434,236005,26839
2026-02-08 06:00:02,722856960,6372764672,18569,734519,3434,242376,27535
2026-02-08 07:00:02,722865152,6454672384,18571,751661,3434,247610,28055
2026-02-08 08:00:02,722869248,6511266816,18572,763315,3434,251364,28418
2026-02-08 09:00:02,722869248,6562978816,18572,773457,3434,254767,28744
2026-02-08 10:00:02,722869248,6636592128,18572,788732,3434,259485,29190
2026-02-08 11:00:02,722869248,6695062528,18572,800692,3434,263541,29575
2026-02-08 12:00:02,722869248,6765337600,18572,815346,3434,268231,30039
2026-02-08 13:00:02,722869248,6833839104,18572,829646,3434,272863,30510
2026-02-08 14:00:02,722869248,6929505280,18572,849582,3434,278820,31123
2026-02-08 15:00:02,722869248,7000873984,18572,864502,3434,283977,31611
2026-02-08 16:00:02,722869248,7048305664,18572,874217,3434,287505,31936
2026-02-08 17:00:02,722873344,7102471168,18573,885254,3435,291246,32284
2026-02-08 18:00:03,722873344,7203945472,18573,903840,3435,297241,32871
2026-02-08 19:00:02,722873344,7270525952,18573,917110,3435,301169,33235
2026-02-08 20:00:02,722873344,7314643968,18573,926008,3435,304088,33471
2026-02-08 21:00:02,722873344,7391292416,18573,941336,3435,308490,33885
2026-02-08 22:00:02,722873344,7448779776,18573,953228,3435,312482,34278
2026-02-08 23:00:02,722873344,7508073472,18573,965286,3435,316269,34617
2026-02-09 00:00:02,722873344,7555816448,18573,974870,3435,319355,34959
2026-02-09 01:00:02,722877440,7609072640,18574,985855,3435,322886,35294
2026-02-09 02:00:02,722922496,7683488768,18576,1000562,3435,327132,39979
2026-02-09 03:00:03,722922496,8054344704,18576,1015493,3435,332910,40668
2026-02-09 04:00:02,722922496,8106208256,18576,1026291,3435,336356,40987
2026-02-09 05:00:02,722922496,8158526464,18576,1037084,3435,339892,41329
2026-02-09 06:00:02,722922496,8219532288,18576,1049681,3435,344057,41745
2026-02-09 07:00:02,722922496,8304532480,18576,1063868,3435,348690,42205
2026-02-09 08:00:02,722922496,8363658240,18576,1076015,3435,352722,42564
2026-02-09 09:00:02,722922496,8427023360,18576,1089179,3435,357146,42975
2026-02-09 10:00:02,722922496,8479300608,18576,1099827,3435,360800,43312
2026-02-09 11:00:02,722922496,8524196864,18576,1109062,3435,364046,43623
2026-02-09 12:00:03,722922496,8592858112,18576,1123262,3435,368766,44083
2026-02-09 13:00:02,722922496,8636861440,18576,1132351,3435,372038,44387
2026-02-09 14:00:02,722922496,8698563584,18576,1145180,3435,376261,44795
2026-02-09 15:00:02,722922496,8758963200,18576,1157837,3435,380674,45236
2026-02-09 16:00:02,722922496,8802167808,18576,1166712,3435,383841,45548
2026-02-09 17:00:02,722922496,8853015552,18576,1177309,3435,387647,45904
2026-02-09 18:00:02,722922496,8925387776,18576,1192300,3435,392640,46404
2026-02-09 19:00:02,722922496,8959069184,18576,1199107,3435,395165,46632
2026-02-09 20:00:02,722922496,8984988672,18576,1204329,3435,397079,46804
2026-02-09 21:00:02,722922496,9028234240,18576,1213164,3435,400105,47103
2026-02-09 22:00:02,722922496,9052249088,18576,1217914,3435,401926,47282
2026-02-09 23:00:02,722922496,9074187264,18576,1222254,3435,403680,47435
2026-02-10 00:00:02,722922496,9100774400,18576,1227302,3435,405559,47625
2026-02-10 01:00:02,722926592,9123703808,18577,1231702,3436,407219,47777
2026-02-10 02:00:02,722926592,9154591744,18577,1238002,3436,409417,48002
2026-02-10 03:00:02,722926592,9649961984,18577,1247112,3436,414173,48581
2026-02-10 04:00:02,722926592,9686113280,18577,1254592,3436,416999,48876
2026-02-10 05:00:02,722926592,9710009344,18577,1259323,3436,418737,49041
2026-02-10 06:00:03,722926592,9736039424,18577,1264638,3436,420672,49222
2026-02-10 07:00:02,816971264,10374564864,24898,1320948,4394,429172,52523
2026-02-10 08:00:02,819133952,10463128576,25336,1335308,4456,433567,52995
2026-02-10 09:00:02,820891136,10508418048,25413,1344698,4476,436739,53300
2026-02-10 10:00:02,821911040,10550381568,25455,1353406,4489,439643,53575
2026-02-10 11:00:03,822181376,10598575104,25462,1363348,4492,443012,53889
2026-02-10 12:00:02,822181376,10650053632,25462,1374121,4492,446632,54254
2026-02-10 13:00:02,822275584,10690681856,25465,1382556,4493,449598,54525
2026-02-10 14:00:02,822283776,10761112576,25467,1395073,4493,453616,54908
2026-02-10 15:00:02,822283776,10809826304,25467,1404365,4493,456455,55153
2026-02-10 16:00:02,822283776,10835807232,25467,1409529,4493,458156,55299
2026-02-10 17:00:02,822283776,10877029376,25467,1417717,4493,460638,55545
2026-02-10 18:00:02,822287872,10976799744,25468,1437577,4494,466235,56090
2026-02-10 19:00:02,822287872,11083414528,25468,1458709,4494,472406,56708
2026-02-10 20:00:03,822324736,11191315456,25471,1480278,4495,478817,57390
2026-02-10 21:00:02,822332928,11245157376,25473,1491253,4495,482429,57735
2026-02-10 22:00:02,822332928,11285990400,25473,1499565,4495,485442,58020
2026-02-10 23:00:02,822332928,11326757888,25473,1507765,4495,488215,58287
2026-02-11 00:00:03,822660608,11393743872,25494,1521134,4500,492677,58737
2026-02-11 01:00:02,822693376,11450752000,25502,1532386,4503,496542,59098
2026-02-11 02:00:02,822693376,11506785280,25502,1543824,4503,500291,59435
2026-02-11 03:00:02,822693376,11573857280,25502,1556904,4503,504288,59843
2026-02-11 04:00:02,822828544,11632286720,25505,1568898,4504,508234,60186
2026-02-11 05:00:02,822832640,11698875392,25506,1582507,4504,512454,60598
2026-02-11 06:00:02,822963712,11760016384,25509,1595016,4505,516381,60973
2026-02-11 07:00:02,823234048,11825417216,25516,1608408,4508,520732,61371
2026-02-11 08:00:02,823246336,11880262656,25519,1616151,4508,523407,61609
2026-02-11 09:00:02,823463424,12193152000,25572,1624533,4517,527052,62060
2026-02-11 10:00:02,823561728,12238015488,25596,1633516,4522,530289,62351
2026-02-11 11:00:02,823561728,12289915904,25596,1644081,4522,533994,62717
2026-02-11 12:00:02,823561728,12350114816,25596,1656458,4522,538375,63151
2026-02-11 13:00:02,823561728,12401630208,25596,1667016,4522,541995,63527
2026-02-11 14:00:03,823561728,12456410112,25596,1678266,4522,545978,63908
2026-02-11 15:00:02,823561728,12503059456,25596,1687789,4522,549326,64254
2026-02-11 16:00:02,823561728,12564470784,25596,1700439,4522,553789,64675
2026-02-11 17:00:02,823561728,12579150848,25596,1703073,4522,554807,64771
2026-02-11 18:00:03,823561728,12598225920,25596,1706300,4522,556128,64876
2026-02-11 19:00:02,823561728,12631063552,25596,1712453,4522,558524,65101
2026-02-11 20:00:02,823561728,12679236608,25596,1722212,4522,562012,65413
2026-02-11 21:00:02,823561728,12755729408,25596,1738034,4522,567435,65942
2026-02-11 22:00:03,823561728,12835388416,25596,1754304,4522,572840,66481
2026-02-11 23:00:02,823561728,12955421696,25596,1777609,4522,580218,67175
2026-02-12 00:00:02,823565824,12999265280,25597,1783736,4522,582475,67394
2026-02-12 01:00:02,823569920,13033655296,25598,1789669,4522,584506,67573
2026-02-12 02:00:03,823569920,13065055232,25598,1795837,4522,586433,67741
2026-02-12 03:00:02,823569920,13084953600,25598,1799674,4522,587723,67856
2026-02-12 04:00:02,823569920,13095836672,25598,1801622,4522,588424,67929
2026-02-12 05:00:02,823569920,13112601600,25598,1804128,4522,589382,68038
2026-02-12 06:00:02,823569920,13173480448,25598,1816148,4522,593025,68390
2026-02-12 07:00:03,823569920,13295741952,25598,1839484,4522,599691,69054
2026-02-12 08:00:02,823569920,13424503808,25598,1864573,4522,606838,69809
2026-02-12 09:00:02,823569920,13526064128,25598,1881556,4522,612255,70338
2026-02-12 10:00:02,823569920,13827922944,25598,1887422,4522,615708,70775
2026-02-12 11:00:03,823569920,13860858880,25598,1893972,4522,618203,71023
2026-02-12 12:00:02,823569920,13891365888,25598,1899989,4522,620419,71268
2026-02-12 13:00:02,823569920,13931817984,25598,1908027,4522,623489,71579
2026-02-12 14:00:02,823569920,13965925376,25598,1914789,4522,626051,71826
2026-02-12 15:00:02,823569920,14001134592,25598,1921812,4522,628685,72078
2026-02-12 16:00:02,823569920,14104210432,25598,1942472,4522,635249,72722
2026-02-12 17:00:02,823569920,14189997056,25598,1960236,4522,640910,73253
2026-02-12 18:00:02,823569920,14291651584,25598,1981142,4522,647938,73959
2026-02-12 19:00:02,823569920,14402845696,25598,2004006,4522,655758,74768
2026-02-12 20:00:03,823569920,14511672320,25598,2026529,4522,663101,75519
2026-02-12 21:00:02,823569920,14602042368,25598,2045428,4522,669433,76138
2026-02-12 22:00:02,823569920,14695304192,25598,2064672,4522,675612,76747
2026-02-12 23:00:02,823569920,14743239680,25598,2074441,4522,679190,77087
2026-02-13 00:00:03,823569920,14788553728,25598,2083387,4522,682363,77447
2026-02-13 01:00:02,823574016,14828293120,25599,2091360,4522,685191,77736
2026-02-13 02:00:02,823574016,14867397632,25599,2099332,4522,687980,78013
2026-02-13 03:00:02,823574016,14908058624,25599,2107652,4522,691070,78289
2026-02-13 04:00:03,823574016,14948621312,25599,2115885,4522,694038,78578
2026-02-13 05:00:02,823606784,15374150656,25607,2124354,4524,699026,79133
2026-02-13 06:00:02,823610880,15415110656,25608,2132633,4524,702054,79428
2026-02-13 07:00:02,825875968,15550962688,25688,2144637,4545,706397,79854
2026-02-13 08:00:02,825875968,15583689728,25688,2149950,4545,708205,80017
